zone,bhk_type,construction_status,carpet_area,bulit_area,super_bulit_area,price_value,nearbylocation,facility,luxury_facility_scores,luxury_category,Latitude,Longitude,apartment_name,apartment_loc,price_per_sqft,price_range,area_range
east,1,New Property,409.0,486.0,547.72,0.68,"['Hosa Road Metro Station9', 'Market Square Mall Sarjapur Road', 'SH 35', 'Harvest International School', 'Dayananda Sagar University2', 'Manipal Hospital Sarjapur Road', 'Kempegowda International Airport', 'KSR Bengaluru City Junction', 'Wipro Limited - SEZ', 'DoubleTree Suites by Hilton Hotel', 'Kala Bhoomi Amusement&Exhibition', 'Karnataka Golf Association', 'Atal Bihari Vajpayee Stadium']","['Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Bank Attached Property', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center']",102.0,medium,12.8925,77.7795,Godrej Park Retreat,Sarjapur Road,12415.102607171548,50L-1Cr,< 1000 sqft
east,1,New Property,,550.0,612.0,0.7,"['Looking Good Furniture', 'Sri Devi Karumariamman Temple', 'St. Theresa Novitiate', 'Shree Ramakrishna Temple', 'Sri Devi Karumariamman Temple Mahadwara', 'Andhra bank ATM', 'Hdfc ATM', 'Icici ATM', 'Kotak mahindra bank ATM', 'Hdfc bank ATM', 'Revive Aesthetic Clinic Skin Hair And Laser Center', 'Hair Loss Treatment in Bangalore - Hairline International', 'Agarwal Eye Hospital', 'Vignesh medicals', 'MedPlus', '24x7 Pharmacy', ""Visitor's Car Park"", 'Shell', 'Jagriti Theatre', 'Andhra bank', ""Domino's Pizza"", 'The Fat Chef', 'Cafe Bel Cibo Patio', 'The Farmhouse Kitchen & Bakery', 'Cream Stone', 'Udupi Delecacy', 'Saffron Patch', 'Daily Sushi', 'Sowparnika Bakery And Sweets', 'Toscano - Wine collection', 'The Marigold - Fine Dine', 'Bhagini Iris', 'Chez Mariannick', 'Bhagini Park', 'Cafe Coffee Day', ""Kolkata's"", 'Pizza Hut PHD', 'Refresh', 'Moriz Restaurant', 'Whitefield Dum Biriyani', 'Chin Chin', 'Bright Beginnings Preschool', 'The Dunmore House Preschool', 'Neev School', 'Viha', 'Kideens', 'Delhi Public School', 'Chrysalis Kids', 'Vivero International Preschool', 'Little Millenium']","['Swimming Pool', 'Fitness Centre / GYM']",17.0,low,12.9875,77.7085,Y at Whitefield,Mahadevapura,11437.908496732027,50L-1Cr,< 1000 sqft
east,1,Relatively New,,449.0,500.0,0.5,"['Dharmaraya Swamy Temple', 'Shiva Temple', 'Venkateshwara Temple', 'State bank of india ATM', 'Government Hospital', 'Dentawell', 'Apollo Pharmacy', 'Amphitheater', 'Vinayaka Cinema', 'Canara bank', 'Chai Point', 'Damadhish Fine Dine - Family Restaurant', 'Unwind Island Restaurant', 'Sri Lakshmi Vaibav Hotel', 'Nila Bhima', 'Vagdevi School Canteen', 'Punjabi Khanna', 'Den Bakery', 'Energizer', 'Eatoz', 'Sura Whine Shop', 'Chez Mariannick', 'Lassi Corner', 'Chez Mariannick Bakery & Restaurant', 'Bhagini Iris', 'Vagdevi Vilas super school']","['Lift(s)', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Fitness Centre / GYM', 'Club house / Community Center', 'Waste Disposal', 'Rain Water Harvesting']",62.0,medium,12.9385,77.7165,New Dimensions Fifth Element,Gunjur,10000.0,< 50L,< 1000 sqft
east,1,Old,,500.0,563.5,0.31,"['Srinivasa Temple', 'Ganesha Temple', 'Om Sakthi Temple', 'South indian bank ATM', 'Sbi ATM', ' ATM', 'Dcb ATM', 'Icici ATM', 'Axis bank ATM', 'Icici ATM', 'Federal bank ATM', 'Health Care Medi Clinic', 'Medihope Super Specialty Hospital', 'Apple Clinic', 'Easwari Clinic', 'Lotus Medical Centre', 'Kiyara Dental Multispeciality Clinic', 'Toothzone Dental Studio', ""Grihi's Diabetes Centre"", ""Dr. Pranjali Srivastava's Clinic"", 'Winter Mist Clinic', ""Sri Vinayaka Dental Concern's"", 'Vidyaratnam oeshadhalaya', 'Comfort multispeciality hospital', 'Tvacha Skin and Cosmetology Clinic', 'Ashwin Clinic', 'Smiley Dental Care', 'Kamaldeep Medicals', 'Ramdev Pharmacy', 'Apollo Pharmacy', 'Ayushman Panchakarma Therapy Centre', 'Patanjali Pharmacy', 'HP Petrol Bunk', 'Karnataka bank', 'Five Star Chicken', 'Ruchi Restaurant', 'Namma Madurai', 'Hotel sneha', 'Malabar Hotel', 'Biriyani Zone', 'Angel Mess', 'Grill Hut', 'Shake it Off - Thickshakes', 'Global City International School', 'Ayon International Pre School', 'Kids Castle', 'LR International School', ""Hayagriva Girls' School"", 'Government Primary School', 'Saraswati Vidya Mandir']","['Feng Shui / Vaastu Compliant', 'Centrally Air Conditioned', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Visitor Parking', 'Internet/wi-fi connectivity', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting']",73.0,medium,12.9745,77.6658,SJS Udyan,Malleshpalya,5501.330967169477,< 50L,< 1000 sqft
east,1,Old,,500.0,563.5,0.31,"['Srinivasa Temple', 'Ganesha Temple', 'Om Sakthi Temple', 'South indian bank ATM', 'Sbi ATM', ' ATM', 'Dcb ATM', 'Icici ATM', 'Axis bank ATM', 'Icici ATM', 'Federal bank ATM', 'Health Care Medi Clinic', 'Medihope Super Specialty Hospital', 'Apple Clinic', 'Easwari Clinic', 'Lotus Medical Centre', 'Kiyara Dental Multispeciality Clinic', 'Toothzone Dental Studio', ""Grihi's Diabetes Centre"", ""Dr. Pranjali Srivastava's Clinic"", 'Winter Mist Clinic', ""Sri Vinayaka Dental Concern's"", 'Vidyaratnam oeshadhalaya', 'Comfort multispeciality hospital', 'Tvacha Skin and Cosmetology Clinic', 'Ashwin Clinic', 'Smiley Dental Care', 'Kamaldeep Medicals', 'Ramdev Pharmacy', 'Apollo Pharmacy', 'Ayushman Panchakarma Therapy Centre', 'Patanjali Pharmacy', 'HP Petrol Bunk', 'Karnataka bank', 'Five Star Chicken', 'Ruchi Restaurant', 'Namma Madurai', 'Hotel sneha', 'Malabar Hotel', 'Biriyani Zone', 'Angel Mess', 'Grill Hut', 'Shake it Off - Thickshakes', 'Global City International School', 'Ayon International Pre School', 'Kids Castle', 'LR International School', ""Hayagriva Girls' School"", 'Government Primary School', 'Saraswati Vidya Mandir']","['Feng Shui / Vaastu Compliant', 'Centrally Air Conditioned', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Visitor Parking', 'Internet/wi-fi connectivity', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting']",73.0,medium,12.9745,77.6658,SJS Udyan,Malleshpalya,5501.330967169477,< 50L,< 1000 sqft
east,1,New Property,867.0,1030.0,1160.81,1.2,"['Seetharam Palya Metro Station', 'Central Mall', 'State Highway 35', 'The Prodigies International School', 'Garden City University', 'Brookefield Multi Speciality Hospital', 'Kempegowda International Airport', 'Whitefield Railway Station', 'International Tech Park Bangalore', 'Oakwood Residence Whitefield Bangalore', 'Fun World Amusement Park', 'Karnataka Golf Association', 'Atal Bihari Vajpayee Stadium']","['Power Back-up', 'Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center']",80.0,medium,12.9505,77.7265,Brigade Cornerstone Utopia,Varthur,10337.609083312514,1Cr-1.5Cr,1000-1500 sqft
east,1,New Property,296.76,383.0,460.0,0.62,"['Kudlu Gate Metro Station (upcoming)', 'Total Mall', 'The Cambridge International School', 'BRS Global School', 'Vibgyor', 'Motherhood Hospital', 'Columbia Asia', 'Apollo Spectra Hospital', 'Bren Mercury', 'Wipro Limited', 'RGA Tech Park', 'New Wipro Campus', 'Shell Petrol Pump', 'The Amaatra Academy', 'Sakra Clinic']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Waste Disposal', 'Club house / Community Center', 'Water softening plant']",92.0,medium,12.8925,77.7795,Bren Zahara,Sarjapur Road,13478.260869565218,50L-1Cr,< 1000 sqft
east,1,Relatively New,627.0,745.0,839.62,0.45,"['Hoskote Government Hospital', 'Kempanna Nursing Home', 'Dhruva Nursing Home And Diagnostic Centre', 'Sri Srinivasa Hospital Bengaluru Rural', 'Ashwini Hospital', 'Mission Hospital Bengaluru Rural', 'Shreyas Maternity Home', 'G E F Eye Hospital']","['Power Back-up', 'Lift(s)', 'Swimming Pool', 'Fitness Centre / GYM', 'Club house / Community Center']",38.0,low,12.9055,77.5955,Artha Emprasa,Kambalipura,5359.567423358186,< 50L,< 1000 sqft
east,1,Relatively New,,663.0,747.2,0.62,"['Hdfc bank ATM', 'State bank of india ATM', 'Punjab national bank ATM', 'Nationwide Kadugodi Clinic', 'Telerad RXDX Kadugodi', 'Tele Rad RX DX Health care Pvt Ltd', 'Kannamangala Primary Health Center', 'Sky Diagnostic Centre kumbena agrahara', 'New Life Hospital bangalore', 'Shell', 'Icici bank & atm', 'Canara bank', 'Delhiwale', 'Subway', 'Delhi Mahal Restaurant', 'Wild Beans', 'Aiswarya Malayali Hotel', 'Whitefield railway station']","['Private Garden / Terrace', 'Lift(s)', 'Swimming Pool', 'Park', 'Visitor Parking', 'Security Personnel', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",76.0,medium,12.9875,77.7085,Alpe Viva,Whitefield,8297.644539614561,50L-1Cr,< 1000 sqft
east,1,New Property,580.0,733.0,826.09,0.55,"['Nallurahalli metro station', 'Pattandur agrahara metro station', 'Sri Sri Sri Muneshwara Swamy Temple', 'Bank of india ATM', 'Axis bank ATM', 'Hdfc ATM', 'Dr. Batra Clinic', 'Cloud Nine Hospital', 'Narayana Multispeciality Hospital', 'Apollo Pharmacy', 'MedPlus', 'International Tech Park', 'Nandini Restaurant Parking', 'Gopalan Global Axis Open Parking Entrance', 'Axis bank', 'Union bank of india', 'State bank of india', 'Andhra bank', 'Q Cinemas', 'Vindoos', 'Andhra biryanis', 'Khaaja Chowk', 'Ji Huzoor', 'Biriyani Zone', 'Southern Spice', 'Kritunga Restaurant', 'The Creek', 'Barbeque Nation', 'Bakasur', 'Cream Stone', ""Domino's Pizza"", 'Habanero', ""Swensen's Ice-cream"", ""Galito's"", ""Bloomsbury's Boutique Cafe And Artisan Bakery"", 'Punjabi by Nature 2.0', 'Cafe Coffee Day', 'Sri Udupi Park', 'Hyderabad Chefs', 'Absolute Barbecue - Whitefield', 'Nandhini', 'The Marigold - Fine Dine', 'Dot Yum', 'Sowparnika Bakery And Sweets', 'Government School', 'Vydehi School of Excellence', 'Jetking Computer Hardware and Networking', 'Schneider Electric India Pvt. Ltd.', 'Mercedes-Benz Research and Development India', 'ExxonMobil Services and Technology Private Limited']","['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Water purifier', 'Swimming Pool', 'Security Personnel', 'Natural Light', 'Fitness Centre / GYM', 'Club house / Community Center']",59.0,medium,12.9955,77.7655,Sowparnika Columns,Soukya Road,6657.870207846602,50L-1Cr,< 1000 sqft
east,1,New Property,765.0,909.0,1024.44,0.78,"['Baiyappanahalli', 'Ascendas Park Square', 'Medahalli Kadugodi', 'NH75', 'Lake Montfort School', 'Cambridge PU College', 'Manipal Hospital', 'Kempegowda Airport', 'Andhra Bank', 'K.R. Puram', 'ITPL Whitefield', 'M Chinnaswamy Stadium', 'Click Art Museum', 'Bangalore Palace', 'Nayara Petrol Pump']","['Power Back-up', 'Lift(s)', 'Separate entry for servant room', 'No open drainage around', 'Bank Attached Property', 'Swimming Pool', 'Park', 'Security Personnel', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",103.0,medium,13.0155,77.6955,Sobha Lake Gardens,KR Puram,7613.915895513646,50L-1Cr,< 1000 sqft
east,1,Relatively New,328.0,470.0,529.69,0.25,"['Shiva Temple', 'Dharmaraya Swamy Temple', 'Venkateshwara Temple', 'State bank of india ATM', 'Government Hospital', 'Dentawell', 'Apollo Pharmacy', 'Amphitheater', 'Vinayaka Cinema', 'Canara bank', 'Chai Point', 'Damadhish Fine Dine - Family Restaurant', 'Unwind Island Restaurant', 'Sri Lakshmi Vaibav Hotel', 'Nila Bhima', 'Vagdevi School Canteen', 'Punjabi Khanna', 'Den Bakery', 'Energizer', 'Eatoz', 'Sura Whine Shop', 'Lassi Corner', 'Chez Mariannick', 'Chez Mariannick Bakery & Restaurant', 'Vagdevi Vilas super school']","['Lift(s)', 'High Ceiling Height', 'Natural Light']",23.0,low,12.9385,77.7165,BDA Gunjur Housing Project,Gunjur Palya,4719.74173573222,< 50L,< 1000 sqft
east,1,New Property,,622.0,692.0,0.35,"['Hoskote Government Hospital', 'Kempanna Nursing Home', 'Dhruva Nursing Home And Diagnostic Centre', 'Sri Srinivasa Hospital Bengaluru Rural', 'Ashwini Hospital', 'Mission Hospital Bengaluru Rural', 'Shreyas Maternity Home', 'G E F Eye Hospital']","['Swimming Pool', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Club house / Community Center']",32.0,low,12.9055,77.5955,BCD Emprasa,Kambalipura,5057.803468208092,< 50L,< 1000 sqft
east,1,New Property,,665.0,740.0,0.6,"['Beratena Agrahara Metro Station', 'Market Square Mall Sarjapur Road', 'Srinagr-kanyakumari Highway', 'Amrita Vishwa Vidyapeetham, Bengaluru', 'ORCHIDS The International School', 'Springleaf Hospital', 'Kempegowda International Airport', 'Karmelaram Railway Station', 'JP Software Park', 'The Oterra Hotel', 'Karnataka Golf Association', 'Atal Bihari Vajpayee Stadium']","['Lift(s)', 'Swimming Pool', 'Park', 'Piped-gas', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",50.0,medium,12.8925,77.7795,Ahad Serenity,Sarjapur Road,8108.108108108108,50L-1Cr,< 1000 sqft
east,1,Old,,584.0,650.0,0.51,"['Brand Factory', 'Hanuman temple', 'Chowdeshwari Temple', 'Sri Lakshmi Venkateshwara Temple', 'Ganapati Temple', 'Sathya Narayana Temple', 'Mosque', 'Om Shakti Temple', 'Shiva Temple', 'Ranganatha Temple', 'Basaveshwara Temple', 'Citibank ATM', 'Piles and Fistula Clinic', 'Chitra Dental Clinic', 'Dental Clinic', 'Hal', 'Nobel Chemist', 'Sri Lakshmi Medical Stores', 'Astra Medica', 'Lakshmi Medicals', 'Greenhouse Pharma', 'Indian Oil', 'State bank of india yemalur', 'Axis bank', 'Tulasi Theatre', ""Bancharam's"", 'Satis Tiffins', 'Kabab Mirchi', 'Andhra Mess', 'Ram Bhog', 'Diamond Restaurant', 'Viajaya Sai Andhra Hotel', 'Subway', 'California Burrito', 'Sampradaya - Fast Food Fresh Fruits And Vegetables', 'Souvee', 'Unitea Hub Cafe', 'Megha Restaurant', 'Tirumala Bar And Resturant', 'Odia Mess', 'Euro Kids', 'Kiddie International Academy', 'Prasad Vidya Mandir', 'Prasad Vidya Mandir', 'Blooming Kidz Daycare', 'CGI', 'Bravoventure India Private Limited', 'Srinivasa Enterprises', 'Lifestyle International Pvt. Ltd', 'Yemalur public library']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']",48.0,low,12.9755,77.6655,Maruti Prudential Apartments,Old Airport Road,7846.153846153846,50L-1Cr,< 1000 sqft
east,1,Under Construction,580.0,750.0,845.25,0.7,"['Suzli Shop', 'Champion International School', ""Endeavour's International School"", 'Greenwood High Intl School', 'The Intl School Bangalore', 'Oakridge Intl School', 'Christ College', 'Inventure Academy', 'Sanjana Hospital', 'Aaxis Hospital', 'Kushal Reddy Hotel', 'Italian Pizza', 'The Chef Couple', 'Sri Vinayaka Bricks and Tiles', 'Cafe Asia']","['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Swimming Pool', 'Visitor Parking', 'Fitness Centre / GYM', 'Club house / Community Center', 'Rain Water Harvesting']",51.0,medium,12.8925,77.7795,Global White Pearl,Sarjapur Road,8281.573498964803,50L-1Cr,< 1000 sqft
east,1,Under Construction,525.0,750.0,845.25,0.7,"['Looking Good Furniture', 'Jamma Masjid', 'Calvary Church', 'Shree Ramakrishna Temple', 'Sri Devi Karumariamman Temple Mahadwara', 'Sri Devi Karumariamman Temple', 'Veeranjaneya Devasthana', 'Lady of Lourdes Chruch', 'Sai Dental Clinic', 'Cure N Care Homoeopathic clinic', 'Vasan Eye Care', 'Apoorva Dental Clinic', 'Agarwal Eye Hospital', 'Apollo Pharmacy', 'Avenue Pharma', 'V-Care Pharma', 'Pushpa Medicals', 'National Pharma', ""Visitor's Car Park"", 'City union bank', 'Hdfc bank', 'Vijaya bank', 'Syndicate bank', 'Idfc first bank whitefield', 'Bandhan bank', 'Mayuri', 'Five Star Chicken', 'Bangalore Mandarin', 'Shri Lakshmi Vaibhava', 'Punjabi Kitchen', ""Domino's Pizza"", 'Money Heist Bar & Restaurant', 'Whitefield Dum Biriyani', 'Herbs and Spices', ""Glen's Bakehouse"", 'Indira Canteen', 'Moriz Restaurant', 'Blend - Royal Orchid Suites', 'Refresh', 'T.I.M.E Kids', 'St. Thomas School', 'Vivero International Preschool', 'Little Millenium', 'Maple Bear Canadian Pre-School', 'Government School', 'Delhi Public School', 'Viha', 'Kideens', 'Daffodil Pre School', 'Kuvempu Smaraka Vidya Kendra School']","['Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Maintenance Staff', 'Swimming Pool', 'Water Storage', 'Park', 'Visitor Parking', 'Shopping Centre', 'Fitness Centre / GYM', 'Water softening plant']",68.0,medium,12.9875,77.7085,Gowri Cascade,Whitefield,8281.573498964803,50L-1Cr,< 1000 sqft
east,1,New Property,980.0,1164.0,1311.83,1.1,"['Seetharam Palya Metro Station', 'Central Mall', 'State Highway 35', 'The Prodigies International School', 'Garden City University', 'Brookefield Multi Speciality Hospital', 'Kempegowda International Airport', 'Whitefield Railway Station', 'International Tech Park Bangalore', 'Oakwood Residence Whitefield Bangalore', 'Fun World Amusement Park', 'Karnataka Golf Association', 'Atal Bihari Vajpayee Stadium']","['Intercom Facility', 'Lift(s)', 'Swimming Pool', 'Park', 'Fitness Centre / GYM', 'Club house / Community Center']",44.0,low,12.9505,77.7265,Brigade Cornerstone Utopia,Varthur,8385.232842670164,1Cr-1.5Cr,1000-1500 sqft
east,1,New Property,411.0,555.0,692.0,0.32,"['Hoskote Government Hospital', 'Kempanna Nursing Home', 'Dhruva Nursing Home And Diagnostic Centre', 'Sri Srinivasa Hospital Bengaluru Rural', 'Ashwini Hospital', 'Mission Hospital Bengaluru Rural', 'Shreyas Maternity Home', 'G E F Eye Hospital']","['Lift(s)', 'Swimming Pool', 'Fitness Centre / GYM', 'Club house / Community Center']",32.0,low,12.9055,77.5955,Artha Emprasa,Kambalipura,4624.277456647399,< 50L,< 1000 sqft
